"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 11:38:59 GMT 2023","Thu Apr 06 11:39:09 GMT 2023","10622","chromium","NRT 04/06/2023","","","","OH-57: Successfully submit the Log In form on the SSO Auth0 @uismoke @allure @nrt",""
"passed","Thu Apr 06 11:39:23 GMT 2023","Thu Apr 06 11:39:40 GMT 2023","16771","webkit","NRT 04/06/2023","","","","OH-57: Successfully submit the Log In form on the SSO Auth0 @uismoke @allure @nrt",""
"passed","Thu Apr 06 11:39:10 GMT 2023","Thu Apr 06 11:39:23 GMT 2023","12692","firefox","NRT 04/06/2023","","","","OH-57: Successfully submit the Log In form on the SSO Auth0 @uismoke @allure @nrt",""
"passed","Thu Apr 06 11:39:41 GMT 2023","Thu Apr 06 11:40:06 GMT 2023","25347","Microsoft Edge","NRT 04/06/2023","","","","OH-57: Successfully submit the Log In form on the SSO Auth0 @uismoke @allure @nrt",""
